10.205.40.105,bms25-main,BMS25-MAIN-05.IDC01
10.205.34.22,bms25-redis,BMS-REDIS-01.IDC01
10.205.34.23,bms25-redis,BMS-REDIS-02.IDC01
10.205.34.24,bms25-metaq,BMS-METAQ-01.IDC01
10.205.34.25,bms25-metaq,BMS-METAQ-02.IDC01
10.205.64.26,nos-mysql,BMS-MYSQL-01
10.205.64.27,bms25-mysql,BMS-MYSQL-02
10.205.40.80,bms25-nginx,ucb.nginx.nginx.01.idc01
10.205.40.81,bms25-web,BMS25-WEB-01.IDC01
10.205.40.82,bms25-main,BMS25-MAIN-01.IDC01
10.205.40.83,bms25-main,BMS25-MAIN-02.IDC01
10.205.40.84,bms25-main,BMS25-MAIN-03.IDC01
10.205.40.95,bms25-main,BMS25-MAIN-04.IDC01
10.205.40.85,bms25-mq,BMS25-MQ-01.IDC01
10.205.40.86,bms25-mq,BMS25-MQ-02.IDC01
10.205.40.87,bms25-mq,BMS25-MQ-03.IDC01
10.205.40.96,bms25-mq,BMS25-MQ-04.IDC01
10.205.40.88,bms25-job,BMS25-JOB-01.IDC01
10.205.40.79,bms25-nginx,ucb.nginx.nginx.02.idc01
10.205.70.118,bms25-main,ucb.tomcat.bms25-main.06.idc01
10.205.40.89,bms25-redis,BMS25-REDIS-01.IDC01
10.205.40.91,bms25-mq,BMS25-RMQ-01.IDC01
10.205.40.90,bms25-redis,BMS25-REDIS-02.IDC01
10.205.40.92,bms25-mq,BMS25-RMQ-02.IDC01
10.205.71.54,uce-bms-web,ucb.tomcat.uce-bms-web.01.idc01
10.205.40.97,bms25-job,ucb.tomcat.bms-job.02.idc01
10.205.40.106,bms25-main,ucb.tomcat.bms25-main.07.idc01
10.205.40.107,bms25-main,ucb.tomcat.bms25-main.08.idc01
10.205.40.108,bms25-mq,ucb.tomcat.bms25-mq.05.idc01
10.205.18.101,qk-around,QK-LOG-SZGA.IDC-01
10.205.18.102,qk-around,QK-QCT-WORK-01.IDC-01
10.205.18.103,qk-around,QK-H5-01.IDC01
10.205.18.104,qk-around,QK-BFS-01.IDC01
